vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,location,vendor_product,business_owner,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,matched_cve_or_control,threat_actor,campaign_name,ransomware_association,cveID,knownRansomwareCampaignUse
V-2057,A-1018,Exchange Server-Side Request Forgery,CVE-SYN-2025-0501,High,8.5,No,Yes,50,Internet,No,Open,Request Processor,email-server-prod,Mail Server,Production,IT Operations,Internal Communications,Yes,High,Internal Confidential,Yes,1,UAE,Microsoft Exchange 2019 CU13,COO,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,,None observed,,No,,Unknown
V-2058,A-1019,WordPress Plugin Remote Code Execution,CVE-2024-4577,Critical,9.8,Yes,Yes,35,Internet,No,Open,PHP CGI / Plugin,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-2024-4577,AmberFox,HR Data Theft,No,CVE-2024-4577,Known
V-2058,A-1019,WordPress Plugin Remote Code Execution,CVE-2024-4577,Critical,9.8,Yes,Yes,35,Internet,No,Open,PHP CGI / Plugin,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-2024-4577,GrayLotus,CMS Spray,No,CVE-2024-4577,Known
V-2059,A-1019,Outdated WordPress Core Version,CVE-SYN-2025-0123,High,7.9,Yes,Yes,35,Internet,No,Open,CMS Core,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-SYN-2025-0123,GrayLotus,CMS Spray,No,,Unknown
V-2060,A-1019,Directory Listing Enabled,CVE-SYN-2023-0110,Medium,5.4,No,Yes,200,Internet,No,Open,Web Server Config,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,,None observed,,No,,Unknown
V-2061,A-1020,Jenkins Arbitrary File Read via CLI,CVE-2024-23897,Critical,9.8,Yes,Yes,90,Internal,No,Open,Jenkins CLI,jenkins-prod,Build Server,Production,DevOps,DevOps Platform,No,High,Source Code,No,4,India,Jenkins 2.426,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,CVE-2024-23897,SilentForge,Build Chain Theft,No,CVE-2024-23897,Known
V-2062,A-1020,Jenkins Build Script Injection,CVE-SYN-2025-0801,High,8.8,No,Yes,60,Internal,Yes,Open,Pipeline Script,jenkins-prod,Build Server,Production,DevOps,DevOps Platform,No,High,Source Code,No,4,India,Jenkins 2.426,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,,None observed,,No,,Unknown
V-2063,A-1020,Exposed CI/CD Secrets in Environment Vars,CICD-SYN-001,Critical,9.4,Yes,Yes,21,Internal,Yes,Open,Build Pipeline,jenkins-prod,Build Server,Production,DevOps,DevOps Platform,No,High,Source Code,No,4,India,Jenkins 2.426,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,CICD-SYN-001,SilentForge,Build Chain Theft,No,,Unknown
V-2064,A-1021,Citrix ADC Session Token Leak (CitrixBleed),CVE-2023-4966,Critical,9.4,Yes,Yes,180,Internet,No,Open,NetScaler ADC,load-balancer-prod-01,Load Balancer,Production,Network Team,Customer Login,Yes,High,Internal Access,No,1,UAE,Citrix NetScaler ADC 13.0,Chief Digital Officer,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,CVE-2023-4966,IronVeil,CitrixBleed Exploitation,Yes,CVE-2023-4966,Known
V-2065,A-1021,Unencrypted Management Interface,CVE-SYN-2025-0601,Medium,6.8,No,Yes,75,Internet,No,Open,Management Plane,load-balancer-prod-01,Load Balancer,Production,Network Team,Customer Login,Yes,High,Internal Access,No,1,UAE,Citrix NetScaler ADC 13.0,Chief Digital Officer,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,,None observed,,No,,Unknown
V-2066,A-1022,Citrix ADC Session Token Leak (CitrixBleed),CVE-2023-4966,Critical,9.4,Yes,Yes,180,Internet,No,Open,NetScaler ADC,load-balancer-prod-02,Load Balancer,Production,Network Team,Payment Processing,Yes,High,Internal Access,No,1,UAE,Citrix NetScaler ADC 13.0,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,CVE-2023-4966,IronVeil,CitrixBleed Exploitation,Yes,CVE-2023-4966,Known
V-2067,A-1022,SSL Certificate Near Expiry,CTRL-SYN-005,Medium,5.5,No,No,10,Internet,No,Open,TLS Certificate,load-balancer-prod-02,Load Balancer,Production,Network Team,Payment Processing,Yes,High,Internal Access,No,1,UAE,Citrix NetScaler ADC 13.0,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,,None observed,,No,,Unknown
V-2068,A-1023,Cisco ASA Denial of Service,CVE-2024-20353,High,8.6,Yes,Yes,30,Internet,No,Open,VPN IKEv1,network-firewall-01,Firewall,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Cisco ASA 9.18,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,CVE-2024-20353,Unknown
V-2069,A-1023,Cisco ASA Remote Access VPN Unauthenticated DoS,CVE-2024-20358,High,8.6,No,Yes,30,Internet,No,Open,VPN Service,network-firewall-01,Firewall,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Cisco ASA 9.18,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,,Unknown
V-2070,A-1023,Firewall Rule Allows Overly Broad Inbound Access,CTRL-SYN-006,High,7.9,No,Yes,180,Internet,No,Open,Firewall Policy,network-firewall-01,Firewall,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Cisco ASA 9.18,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,,Unknown
V-2071,A-1024,Storage Bucket Public Policy Misconfiguration,CLOUD-SYN-001,Critical,9.1,Yes,Yes,21,Internal,No,Open,Object Storage Policy,backup-storage-prod,Object Storage,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,6,UAE,AWS S3 / Veeam 12,Head of Infrastructure,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,CLOUD-SYN-001,NightHarbor,Backup Hunter,Yes,,Unknown
V-2072,A-1024,Backup Encryption Not Enforced,CLOUD-SYN-002,High,8.1,No,Yes,45,Internal,Yes,Open,Backup Config,backup-storage-prod,Object Storage,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,6,UAE,AWS S3 / Veeam 12,Head of Infrastructure,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,,None observed,,No,,Unknown
V-2073,A-1024,No Immutable Backup Policy,CTRL-SYN-007,High,7.5,No,Yes,80,Internal,Yes,Open,Backup Policy,backup-storage-prod,Object Storage,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,6,UAE,AWS S3 / Veeam 12,Head of Infrastructure,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,,None observed,,No,,Unknown
V-2074,A-1025,Kubernetes Dashboard Exposed Without Auth,K8S-SYN-001,Critical,9.5,No,Yes,45,Internal,No,Open,K8s Dashboard,k8s-cluster-prod-01,Kubernetes Cluster,Production,DevOps,Payment Processing,No,Critical,Payment Card Data,Yes,1,UAE,Kubernetes 1.27 / Ubuntu 22.04,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,K8S-SYN-001,Unknown,Kubernetes Dashboard Exploitation,No,,Unknown
V-2075,A-1025,Privileged Containers Running in Production,K8S-SYN-002,High,8.4,No,Yes,60,Internal,Yes,Open,Pod Security Policy,k8s-cluster-prod-01,Kubernetes Cluster,Production,DevOps,Payment Processing,No,Critical,Payment Card Data,Yes,1,UAE,Kubernetes 1.27 / Ubuntu 22.04,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,,None observed,,No,,Unknown
V-2076,A-1025,Container Images With Critical CVEs,CVE-SYN-2024-0999,High,8.2,No,Yes,55,Internal,Yes,Open,Container Image,k8s-cluster-prod-01,Kubernetes Cluster,Production,DevOps,Payment Processing,No,Critical,Payment Card Data,Yes,1,UAE,Kubernetes 1.27 / Ubuntu 22.04,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,,None observed,,No,,Unknown
V-2077,A-1026,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,analytics-db-prod,Database,Production,Data Engineering,Analytics Platform,No,Medium,Aggregated Analytics,Yes,2,UAE,PostgreSQL 15 / Ubuntu 22.04,Chief Product Officer,Business intelligence and product analytics unavailable,No,GDPR,Low,48,,High,CVE-2024-10978,BlackCinder,Database Grab,Yes,,Unknown
V-2078,A-1026,Excessive Data Access by Analytics Users,CTRL-SYN-003,Medium,6.0,No,Yes,70,Internal,Yes,Open,DB Access Control,analytics-db-prod,Database,Production,Data Engineering,Analytics Platform,No,Medium,Aggregated Analytics,Yes,2,UAE,PostgreSQL 15 / Ubuntu 22.04,Chief Product Officer,Business intelligence and product analytics unavailable,No,GDPR,Low,48,,High,,None observed,,No,,Unknown
V-2079,A-1027,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,data-warehouse-prod,Database,Production,Data Engineering,Data Warehouse,No,High,Customer PII,Yes,2,UAE,PostgreSQL 14 / Ubuntu 20.04,Chief Product Officer,Historical reporting and ML model training blocked,No,GDPR,Medium,24,,Medium,CVE-2024-10978,BlackCinder,Database Grab,Yes,,Unknown
V-2080,A-1027,Customer PII Not Masked in Dev Queries,CTRL-SYN-008,High,7.8,No,Yes,95,Internal,Yes,Open,Data Masking,data-warehouse-prod,Database,Production,Data Engineering,Data Warehouse,No,High,Customer PII,Yes,2,UAE,PostgreSQL 14 / Ubuntu 20.04,Chief Product Officer,Historical reporting and ML model training blocked,No,GDPR,Medium,24,,Medium,,None observed,,No,,Unknown
V-2081,A-1030,HashiCorp Vault Audit Log Disabled,CTRL-SYN-009,High,8.0,No,Yes,60,Internal,Yes,Open,Vault Audit,secrets-vault-prod,Application Server,Production,DevOps,DevOps Platform,No,Critical,Secrets,Yes,1,UAE,HashiCorp Vault 1.15,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,,None observed,,No,,Unknown
V-2082,A-1030,Vault Token with Excessive Policies,CTRL-SYN-010,High,7.6,No,Yes,45,Internal,Yes,Open,Vault Token Policy,secrets-vault-prod,Application Server,Production,DevOps,DevOps Platform,No,Critical,Secrets,Yes,1,UAE,HashiCorp Vault 1.15,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,,None observed,,No,,Unknown
V-2083,A-1032,WordPress PHP Object Injection via Plugin,CVE-2024-4577,Critical,9.8,Yes,Yes,40,Internet,No,Open,PHP CGI,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.2 / PHP 7.4 / Apache 2.4,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-2024-4577,AmberFox,HR Data Theft,No,CVE-2024-4577,Known
V-2083,A-1032,WordPress PHP Object Injection via Plugin,CVE-2024-4577,Critical,9.8,Yes,Yes,40,Internet,No,Open,PHP CGI,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.2 / PHP 7.4 / Apache 2.4,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-2024-4577,GrayLotus,CMS Spray,No,CVE-2024-4577,Known
V-2084,A-1032,WordPress Plugin XSS,CVE-SYN-2025-0123,High,7.9,Yes,Yes,45,Internet,No,Open,CMS Plugin,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.2 / PHP 7.4 / Apache 2.4,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-SYN-2025-0123,GrayLotus,CMS Spray,No,,Unknown
V-2085,A-1032,Directory Listing Enabled,CVE-SYN-2023-0110,Medium,5.4,No,Yes,250,Internet,No,Open,Web Server Config,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.2 / PHP 7.4 / Apache 2.4,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,,None observed,,No,,Unknown
V-2086,A-1032,PHP 7.4 End of Life,CVE-SYN-2024-0012,High,7.5,No,No,280,Internet,No,Open,PHP Runtime,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.2 / PHP 7.4 / Apache 2.4,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,,None observed,,No,,Unknown
V-2087,A-1033,Confluence Server RCE - Older Version,CVE-2023-22527,Critical,10.0,Yes,Yes,200,Internal,No,Open,OGNL Template Engine,internal-wiki-prod,Application Server,Production,Engineering,Internal Communications,No,Medium,Internal Confidential,Yes,4,UAE,Atlassian Confluence 7.19,COO,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,CVE-2023-22527,RedMantis,Collaboration Breach,Yes,CVE-2023-22527,Known
V-2088,A-1033,Confluence Unrestricted File Upload,CVE-SYN-2025-0339,High,8.1,No,Yes,55,Internal,Yes,Open,File Upload Handler,internal-wiki-prod,Application Server,Production,Engineering,Internal Communications,No,Medium,Internal Confidential,Yes,4,UAE,Atlassian Confluence 7.19,COO,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,,None observed,,No,,Unknown
V-2089,A-1034,Windows Server 2012 R2 End of Support — No Security Patches,CVE-SYN-2024-0001,Critical,10.0,No,No,365,Internal,Yes,Open,Operating System,legacy-payments-db,Database,Production,Payments Team,Financial Reporting,No,High,Financial Data,No,45,UAE,PostgreSQL 11 / Windows Server 2012 R2,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CVE-SYN-2024-0001,GhostByte,Legacy OS Exploitation,No,,Unknown
V-2090,A-1034,PostgreSQL 11 End of Life,CVE-SYN-2024-0002,High,8.0,No,No,280,Internal,Yes,Open,Database Engine,legacy-payments-db,Database,Production,Payments Team,Financial Reporting,No,High,Financial Data,No,45,UAE,PostgreSQL 11 / Windows Server 2012 R2,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2091,A-1034,No EDR Agent Installed,CTRL-SYN-001,High,7.5,No,Yes,90,Internal,Yes,Open,Endpoint Control,legacy-payments-db,Database,Production,Payments Team,Financial Reporting,No,High,Financial Data,No,45,UAE,PostgreSQL 11 / Windows Server 2012 R2,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CTRL-SYN-001,Unknown,Endpoint Drift,No,,Unknown
V-2092,A-1038,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-staging,VPN Gateway,Staging,Network Team,Remote Access,Yes,Medium,Staging Access,No,10,India,Fortinet FortiGate 7.2.5,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,CVE-2024-21762,CrimsonJackal,Gateway Breaker,Yes,CVE-2024-21762,Known
V-2093,A-1038,Staging VPN Shares Production Credentials,CTRL-SYN-011,Critical,9.0,No,Yes,30,Internet,No,Open,Credential Management,vpn-staging,VPN Gateway,Staging,Network Team,Remote Access,Yes,Medium,Staging Access,No,10,India,Fortinet FortiGate 7.2.5,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,,Unknown
V-2094,A-1045,Microsoft Exchange NTLM Relay Privilege Escalation,CVE-2024-21410,Critical,9.8,Yes,Yes,90,Internal,No,Open,NTLM Auth,email-server-staging,Mail Server,Staging,IT Operations,Internal Communications,No,Low,Test Data,No,14,India,Microsoft Exchange 2019 CU12,COO,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,CVE-2024-21410,Unknown,Exchange NTLMv2 Relay,No,CVE-2024-21410,Unknown
V-2095,A-1046,Jenkins Arbitrary File Read via CLI,CVE-2024-23897,Critical,9.8,Yes,Yes,90,Internal,No,Open,Jenkins CLI,dev-build-server-01,Build Server,Development,Engineering,Software Delivery,No,Medium,Source Code,No,12,India,Jenkins 2.414 / Ubuntu 22.04,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,CVE-2024-23897,SilentForge,Build Chain Theft,No,CVE-2024-23897,Known
V-2096,A-1046,Exposed CI/CD Secrets in Build Vars,CICD-SYN-001,Critical,9.4,Yes,Yes,14,Internal,Yes,Open,Build Pipeline,dev-build-server-01,Build Server,Development,Engineering,Software Delivery,No,Medium,Source Code,No,12,India,Jenkins 2.414 / Ubuntu 22.04,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,CICD-SYN-001,SilentForge,Build Chain Theft,No,,Unknown
V-2097,A-1047,Jenkins Arbitrary File Read via CLI,CVE-2024-23897,Critical,9.8,Yes,Yes,90,Internal,No,Open,Jenkins CLI,dev-build-server-02,Build Server,Development,Engineering,Software Delivery,No,Medium,Source Code,No,15,India,Jenkins 2.387 / Ubuntu 20.04,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,CVE-2024-23897,SilentForge,Build Chain Theft,No,CVE-2024-23897,Known
V-2098,A-1047,Outdated Build Agent — EOL Version,CVE-SYN-2023-0771,Medium,6.2,No,Yes,180,Internal,Yes,Open,Build Agent,dev-build-server-02,Build Server,Development,Engineering,Software Delivery,No,Medium,Source Code,No,15,India,Jenkins 2.387 / Ubuntu 20.04,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,,None observed,,No,,Unknown
V-2099,A-1051,Executive Laptop Missing EDR Agent,CTRL-SYN-001,High,7.5,No,Yes,9,Internal,Yes,Open,Endpoint Control,exec-laptop-ceo,Endpoint,Production,Executive Office,Executive Operations,No,High,Executive Confidential,No,9,UAE,Windows 11 22H2,CEO Office,Executive communications and sensitive strategic files compromised,No,ISO 27001,High,8,,Low,CTRL-SYN-001,Unknown,Endpoint Drift,No,,Unknown
V-2100,A-1051,Windows DWM Kernel Privilege Escalation,CVE-2024-30051,High,7.8,Yes,Yes,22,Internal,Yes,Open,Windows DWM,exec-laptop-ceo,Endpoint,Production,Executive Office,Executive Operations,No,High,Executive Confidential,No,9,UAE,Windows 11 22H2,CEO Office,Executive communications and sensitive strategic files compromised,No,ISO 27001,High,8,,Low,,None observed,,No,CVE-2024-30051,Known
V-2101,A-1051,NTLM Hash Disclosure via Spoofing,CVE-2024-43451,Medium,6.5,Yes,Yes,30,Internal,Yes,Open,NTLM Protocol,exec-laptop-ceo,Endpoint,Production,Executive Office,Executive Operations,No,High,Executive Confidential,No,9,UAE,Windows 11 22H2,CEO Office,Executive communications and sensitive strategic files compromised,No,ISO 27001,High,8,,Low,,None observed,,No,CVE-2024-43451,Unknown
V-2102,A-1052,Windows DWM Kernel Privilege Escalation,CVE-2024-30051,High,7.8,Yes,Yes,22,Internal,Yes,Open,Windows DWM,exec-laptop-cfo,Endpoint,Production,Finance Team,Executive Operations,No,High,Executive Confidential,Yes,2,UAE,Windows 11 22H2,CEO Office,Executive communications and sensitive strategic files compromised,No,ISO 27001,High,8,,Low,,None observed,,No,CVE-2024-30051,Known
V-2103,A-1052,NTLM Hash Disclosure via Spoofing,CVE-2024-43451,Medium,6.5,Yes,Yes,30,Internal,Yes,Open,NTLM Protocol,exec-laptop-cfo,Endpoint,Production,Finance Team,Executive Operations,No,High,Executive Confidential,Yes,2,UAE,Windows 11 22H2,CEO Office,Executive communications and sensitive strategic files compromised,No,ISO 27001,High,8,,Low,,None observed,,No,CVE-2024-43451,Unknown
V-2104,A-1057,Missing EDR Agent on Operations Workstation,CTRL-SYN-001,High,7.5,No,Yes,7,Internal,Yes,Open,Endpoint Control,ops-workstation-001,Endpoint,Production,IT Operations,Employee Services,No,Medium,Internal Confidential,No,7,UAE,Windows 10 21H2,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,CTRL-SYN-001,Unknown,Endpoint Drift,No,,Unknown
V-2105,A-1057,Windows 10 21H2 EOL — No Extended Support,CVE-SYN-2024-0003,High,7.9,No,No,90,Internal,Yes,Open,Operating System,ops-workstation-001,Endpoint,Production,IT Operations,Employee Services,No,Medium,Internal Confidential,No,7,UAE,Windows 10 21H2,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,,None observed,,No,,Unknown
V-2106,A-1058,Missing EDR Agent on Finance Workstation,CTRL-SYN-001,High,7.5,No,Yes,6,Internal,Yes,Open,Endpoint Control,ops-workstation-002,Endpoint,Production,Finance Team,Financial Reporting,No,Medium,Financial Data,No,6,UAE,Windows 10 21H2,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CTRL-SYN-001,Unknown,Endpoint Drift,No,,Unknown
V-2107,A-1058,Windows 10 21H2 EOL,CVE-SYN-2024-0003,High,7.9,No,No,90,Internal,Yes,Open,Operating System,ops-workstation-002,Endpoint,Production,Finance Team,Financial Reporting,No,Medium,Financial Data,No,6,UAE,Windows 10 21H2,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2108,A-1059,Windows Server 2012 R2 End of Support,CVE-SYN-2024-0001,Critical,10.0,No,No,365,Internal,Yes,Open,Operating System,legacy-reporting-server,Application Server,Production,,Financial Reporting,No,High,Financial Data,No,62,UAE,Windows Server 2012 R2 / IIS 8.5,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CVE-SYN-2024-0001,GhostByte,Legacy OS Exploitation,No,,Unknown
V-2109,A-1059,IIS 8.5 Multiple Vulnerabilities,CVE-SYN-2024-0050,High,8.3,No,No,280,Internal,Yes,Open,Web Server,legacy-reporting-server,Application Server,Production,,Financial Reporting,No,High,Financial Data,No,62,UAE,Windows Server 2012 R2 / IIS 8.5,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2110,A-1059,No EDR Installed on Legacy Server,CTRL-SYN-001,High,7.5,No,Yes,62,Internal,Yes,Open,Endpoint Control,legacy-reporting-server,Application Server,Production,,Financial Reporting,No,High,Financial Data,No,62,UAE,Windows Server 2012 R2 / IIS 8.5,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CTRL-SYN-001,Unknown,Endpoint Drift,No,,Unknown
V-2111,A-1059,Orphaned Asset — No Assigned Owner,CTRL-SYN-012,High,8.0,No,Yes,62,Internal,Yes,Open,Asset Management,legacy-reporting-server,Application Server,Production,,Financial Reporting,No,High,Financial Data,No,62,UAE,Windows Server 2012 R2 / IIS 8.5,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2112,A-1060,Ubuntu 18.04 End of Life,CVE-SYN-2024-0004,High,8.0,No,No,200,Internal,Yes,Open,Operating System,dr-failover-site,Application Server,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,38,UAE,Various / Ubuntu 18.04,Head of Infrastructure,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,,None observed,,No,,Unknown
V-2113,A-1060,DR Site Not Tested in Over 6 Months,CTRL-SYN-013,High,7.5,No,Yes,185,Internal,Yes,Open,DR Procedure,dr-failover-site,Application Server,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,38,UAE,Various / Ubuntu 18.04,Head of Infrastructure,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,,None observed,,No,,Unknown
V-2114,A-1060,No EDR on Disaster Recovery Site,CTRL-SYN-001,High,7.5,No,Yes,38,Internal,Yes,Open,Endpoint Control,dr-failover-site,Application Server,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,38,UAE,Various / Ubuntu 18.04,Head of Infrastructure,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,CTRL-SYN-001,Unknown,Endpoint Drift,No,,Unknown
